#{"t_start": 1788183470.7452114, "env_id": "None"}
r,l,t
-125.0,1,7.683208
675.0,10,7.71599
475.0,8,7.740318
-125.0,1,7.743989
-25.0,2,7.749866
1275.0,18,7.812502
75.0,3,7.823001
275.0,5,7.84248
-25.0,2,7.853138
375.0,7,7.882506
-25.0,2,7.889071
275.0,6,7.907953
75.0,3,7.916511
375.0,7,7.936248
-125.0,1,7.938839
375.0,7,7.959695
275.0,6,7.975988
75.0,3,7.984864
375.0,7,8.003464
-125.0,1,8.007679
375.0,7,8.027531
-125.0,1,8.030289
75.0,3,8.040133
-125.0,1,8.043151
-125.0,1,8.046016
-25.0,2,8.051618
1075.0,14,8.091637
75.0,3,8.100816
875.0,12,8.135028
75.0,3,8.144796
75.0,3,8.154362
75.0,3,8.162911
-125.0,1,8.166489
225.0,4,8.179193
-125.0,1,8.1825
-125.0,1,8.185977
275.0,5,8.20176
275.0,5,8.217588
75.0,3,8.227975
-25.0,2,8.235254
-25.0,2,8.242428
75.0,3,8.253595
75.0,3,8.269052
375.0,7,8.292291
75.0,3,8.301911
675.0,10,8.335979
475.0,8,8.360613
875.0,12,8.397623
275.0,6,8.414598
-25.0,2,8.419691
-125.0,1,8.422889
475.0,8,8.445042
75.0,3,8.453951
-25.0,2,8.460042
-125.0,1,8.463708
75.0,3,8.471655
-125.0,1,8.474222
-125.0,1,8.478333
275.0,5,8.492496
-125.0,1,8.495154
75.0,3,8.503543
-125.0,1,8.506378
-125.0,1,8.800514
875.0,12,8.837828
-25.0,2,8.84361
1125.0,15,8.889411
375.0,7,8.911809
75.0,3,8.921907
75.0,3,8.932191
275.0,5,8.950087
-125.0,1,8.953443
475.0,8,8.979427
375.0,7,9.001253
75.0,3,9.00999
225.0,4,9.021929
375.0,7,9.041819
75.0,3,9.050595
675.0,10,9.079133
475.0,8,9.101748
225.0,4,9.112936
-125.0,1,9.116924
225.0,4,9.12942
1375.0,20,9.187652
-25.0,2,9.193845
275.0,6,9.212653
225.0,4,9.226972
675.0,10,9.260356
275.0,5,9.277486
-25.0,2,9.284651
225.0,4,9.296864
-125.0,1,9.300239
-125.0,1,9.305051
225.0,4,9.317358
75.0,3,9.327694
275.0,6,9.346971
225.0,4,9.360009
-125.0,1,9.362998
225.0,4,9.377011
-125.0,1,9.381123
1225.0,17,9.432561
-25.0,2,9.439581
275.0,6,9.460657
875.0,12,9.499908
875.0,12,9.536378
-25.0,2,9.543027
-125.0,1,9.546606
225.0,4,9.557501
475.0,8,9.579322
775.0,11,9.6127
75.0,3,9.621612
-125.0,1,9.624333
-125.0,1,9.627118
1225.0,17,9.673885
275.0,5,9.688696
875.0,12,9.722611
275.0,6,9.740084
225.0,4,9.751127
-125.0,1,9.755013
675.0,10,9.785284
1025.0,13,9.828926
375.0,7,9.852926
-125.0,1,9.856062
775.0,11,9.893359
-125.0,1,9.896742
875.0,12,9.942999
-125.0,1,9.946281
-125.0,1,9.950004
225.0,4,9.964377
1125.0,15,10.010084
675.0,10,10.039102
75.0,3,10.047219
575.0,9,10.072315
575.0,9,10.097202
-125.0,1,10.101516
275.0,6,10.118148
475.0,8,10.144025
225.0,4,10.155747
75.0,3,10.165083
75.0,3,10.174578
275.0,5,10.189342
225.0,4,10.200513
225.0,4,10.213597
225.0,4,10.227373
-125.0,1,10.230453
