#{"t_start": 1788756738.2250724, "env_id": "None"}
r,l,t
0.75,1,5.919983
0.75,1,5.922283
-0.25,1,5.924548
0.75,1,5.926862
-0.75,1,5.929125
-0.25,1,5.931403
0.75,1,5.933644
0.75,1,5.935836
-2.25,3,5.941684
0.75,1,5.943703
-0.25,1,5.945701
-0.25,1,5.948166
-0.25,2,5.952694
-0.75,1,5.955132
-0.75,1,5.957368
0.75,1,5.959665
-0.25,1,5.961915
-2.25,4,5.969447
-0.75,2,5.973396
-0.25,1,5.975489
0.75,1,5.977571
-1.25,2,5.98174
0.75,1,5.983932
-0.75,1,5.986085
0.75,1,5.988144
-0.25,2,5.992925
-0.25,2,5.998523
-0.75,1,6.00159
-0.25,2,6.006919
-0.75,2,6.01247
-0.25,2,6.018511
0.75,1,6.021321
0.75,1,6.024017
0.75,4,6.032707
-0.75,1,6.035645
0.75,1,6.038759
-1.25,2,6.043795
-2.25,4,6.052411
0.75,1,6.054621
-0.25,2,6.058933
-0.25,1,6.06126
0.75,1,6.063614
-0.75,1,6.065779
-0.25,2,6.070281
0.75,1,6.073148
0.75,1,6.076597
-0.25,2,6.082196
-0.25,1,6.084941
-0.75,1,6.08771
-0.75,1,6.090208
0.75,1,6.09275
-0.75,4,6.101072
0.75,1,6.103339
-0.75,1,6.105885
-0.25,1,6.108286
0.75,1,6.110637
0.75,1,6.112962
-0.75,1,6.115286
0.75,1,6.11798
-0.25,2,6.123542
0.25,3,6.131054
0.75,1,6.13375
0.75,1,6.136923
0.75,1,6.140163
-0.25,1,6.143694
-0.25,2,6.149434
0.75,1,6.152396
-0.75,1,6.155365
0.75,1,6.158612
0.75,1,6.161783
-0.75,1,6.16463
-1.25,2,6.169884
-0.75,4,6.179388
-0.25,1,6.181916
0.75,1,6.184496
-0.75,1,6.187072
-0.25,2,6.192188
-0.75,1,6.195056
-0.25,2,6.200185
-0.75,1,6.203113
0.75,1,6.20608
-0.25,2,6.211117
-1.25,2,6.215743
-0.25,1,6.218188
0.25,3,6.224407
-0.75,1,6.226828
0.75,1,6.229038
0.25,3,6.234931
-0.25,2,6.239972
0.75,1,6.242426
-0.75,1,6.245089
-0.25,2,6.249921
-0.25,1,6.252411
0.75,1,6.255015
0.75,1,6.257303
0.75,1,6.259661
0.75,1,6.261789
0.75,1,6.264005
0.75,1,6.266165
0.75,1,6.268339
0.75,1,6.27051
0.75,1,6.272632
0.75,1,6.274763
-0.25,2,6.278747
0.75,1,6.28073
-0.75,1,6.282731
-0.25,2,6.286633
-0.25,1,6.288939
0.75,1,6.291389
0.75,1,6.293818
-0.75,1,6.296174
-0.75,1,6.298509
-0.75,1,6.300708
-0.75,1,6.302958
-0.25,2,6.306919
-0.25,1,6.308941
0.75,1,6.310994
0.75,1,6.312977
0.75,1,6.315076
-0.75,1,6.317255
-0.25,2,6.321335
0.75,1,6.32348
0.75,1,6.325516
-3.25,4,6.333155
0.75,1,6.335494
-0.25,2,6.33983
0.75,1,6.342025
-0.75,1,6.344161
0.75,1,6.34622
0.75,1,6.348306
-0.75,1,6.35035
-0.75,1,6.352381
-0.75,1,6.354579
-0.25,2,6.358695
-0.25,1,6.361295
0.75,1,6.363763
-0.25,1,6.366035
-0.75,1,6.368243
-0.75,3,6.374175
0.75,1,6.376495
0.75,1,6.378996
0.75,1,6.381287
-0.75,1,6.383603
-1.25,3,6.389591
-0.25,2,6.393522
0.75,1,6.395761
0.75,1,6.397884
-1.25,2,6.401801
0.75,1,6.403863
-0.75,1,6.405883
0.75,1,6.408061
0.75,1,6.41098
-0.25,2,6.416741
-2.25,3,6.424785
-0.25,2,6.429504
0.75,1,6.43191
-0.25,2,6.43626
0.75,1,6.438759
0.75,1,6.441119
0.75,1,6.443392
-0.25,2,6.44762
-1.25,2,6.45199
-0.75,1,6.454269
0.75,1,6.45651
0.75,1,6.459083
-0.25,2,6.463755
-0.25,1,6.466102
-0.75,1,6.46838
-0.75,1,6.470698
0.75,1,6.472884
-0.25,2,6.477009
0.75,1,6.479213
0.75,1,6.481485
0.75,1,6.483692
-0.75,1,6.48588
-0.25,1,6.488058
