#{"t_start": 1788994989.4793754, "env_id": "None"}
r,l,t
-0.25,2,6.85835
-0.25,2,6.863532
0.75,1,6.866229
0.75,1,6.869037
-0.25,2,6.874332
-0.25,2,6.879595
-0.25,2,6.8845
-0.25,2,6.889745
1.75,6,6.905022
-2.25,4,6.915251
5.25,13,6.948735
0.25,3,6.956501
0.75,4,6.966774
-0.25,2,6.972021
1.25,5,6.984676
-1.25,3,6.992517
2.75,8,7.012668
-0.25,2,7.0182
-0.25,2,7.023683
-0.75,1,7.026447
-0.25,2,7.031714
-0.25,2,7.036935
-0.75,1,7.039875
-0.75,1,7.042736
1.25,5,7.055906
0.75,1,7.05902
-0.75,1,7.062034
2.75,8,7.082652
0.25,3,7.090139
-0.25,2,7.095404
1.75,6,7.112841
-0.25,2,7.118627
-1.25,3,7.12655
-0.75,1,7.129372
-0.75,1,7.132258
-2.25,4,7.143483
-0.75,1,7.146353
0.25,3,7.153993
0.75,4,7.164309
-0.25,2,7.170585
-8.25,10,7.196785
-0.75,1,7.199594
3.75,8,7.219896
2.25,4,7.230772
1.75,3,7.238456
1.75,6,7.253638
-3.25,5,7.266251
-0.75,1,7.269134
-0.75,1,7.271899
1.75,6,7.288735
-0.25,2,7.294328
1.25,5,7.307086
-0.25,2,7.312199
4.75,10,7.336957
-0.25,2,7.342136
-0.75,1,7.344915
-0.25,2,7.350367
-0.25,2,7.355844
-0.75,1,7.35842
-2.75,6,7.374342
-0.75,1,7.377153
1.25,5,7.389669
-0.75,1,7.392707
-0.75,1,7.395462
5.25,10,7.421193
0.75,1,7.423987
4.25,7,7.441354
-0.75,1,7.44413
-0.25,2,7.449343
-15.25,17,7.491417
-0.75,1,7.494282
-0.25,2,7.500273
-0.75,1,7.503389
0.25,3,7.511251
-0.25,2,7.516707
-0.25,2,7.522094
2.25,7,7.539397
-0.25,2,7.544463
0.75,3,7.551709
-0.25,2,7.557162
0.75,1,7.55987
0.25,3,7.567502
2.25,7,7.585287
-0.75,1,7.588074
3.25,7,7.606178
0.75,3,7.615344
0.25,3,7.623216
0.25,3,7.63045
1.75,6,7.645438
-0.75,1,7.648067
-0.75,1,7.650786
-0.25,2,7.656057
1.75,3,7.663932
-0.25,2,7.669267
-1.25,1,7.67202
0.25,3,7.679622
0.75,1,7.682357
-0.75,1,7.685184
-0.75,1,7.687965
0.75,1,7.69051
1.25,5,7.702924
4.75,9,7.726389
-2.75,3,7.735037
4.75,12,7.767429
0.75,3,7.776079
0.25,3,7.784943
-0.25,2,7.790835
-1.25,1,7.794129
-0.75,1,7.797351
0.75,4,7.808863
0.75,1,7.811951
-0.75,1,7.814986
1.25,5,7.829119
1.25,5,7.843709
0.25,3,7.85211
-0.25,2,7.857979
-0.25,2,7.863758
0.25,3,7.871825
-1.25,3,7.88025
-0.25,2,7.886514
-4.75,5,7.900775
-2.75,3,7.909237
6.25,10,7.936754
0.25,3,7.945624
1.25,5,7.961091
0.75,1,7.964262
-0.75,1,7.967456
-0.25,2,7.972975
0.25,3,7.980889
1.25,5,7.994415
1.75,6,8.009998
-0.25,2,8.01525
-0.75,1,8.018184
-4.25,6,8.034138
-0.25,2,8.039374
-0.25,2,8.044472
0.75,1,8.047093
-0.25,2,8.05239
0.75,1,8.055293
-0.25,2,8.060536
-0.75,1,8.063511
-0.75,1,8.067972
0.75,1,8.071405
1.25,5,8.085402
-0.75,1,8.088454
0.75,3,8.096633
0.75,1,8.0995
-0.75,1,8.417436
1.25,5,8.429086
1.25,5,8.440517
-0.25,2,8.445695
-0.25,2,8.450881
3.25,9,8.473964
1.75,6,8.489488
0.75,7,8.509709
-0.25,2,8.515173
-0.75,1,8.518377
0.25,3,8.526574
-0.25,2,8.532227
0.75,1,8.535188
-0.25,2,8.540296
-0.75,1,8.543192
0.25,3,8.550969
-0.75,1,8.553889
-0.25,2,8.559291
-0.75,1,8.562205
-0.75,1,8.565045
-0.25,2,8.570291
0.25,3,8.578373
-0.25,2,8.583589
0.25,3,8.591342
0.75,4,8.60176
0.75,4,8.612094
0.25,3,8.623297
-1.25,3,8.637337
-6.25,8,8.671849
-0.25,2,8.680926
