#{"t_start": 1789001687.9922652, "env_id": "None"}
r,l,t
-1.25,3,6.582514
-0.25,2,6.588341
-0.25,2,6.593853
-0.25,2,6.599519
-0.75,1,6.602327
-0.25,2,6.607595
0.75,1,6.61037
-0.75,1,6.613056
-2.25,4,6.623137
0.25,3,6.630768
-0.25,2,6.636071
0.25,3,6.643774
-0.75,1,6.646591
-1.25,3,6.654284
-0.75,1,6.657143
-0.75,1,6.660004
-0.25,2,6.665168
0.25,3,6.672944
-0.25,2,6.678261
-0.75,1,6.681018
-2.75,3,6.688721
-0.75,1,6.69151
-0.25,2,6.698073
2.25,4,6.710305
-0.75,1,6.713553
3.75,10,6.73746
-0.25,2,6.74262
-2.25,4,6.753183
-0.25,2,6.760419
0.75,1,6.763527
-0.75,1,6.76621
-0.75,1,6.768967
0.75,3,6.776536
-0.25,2,6.78172
-0.75,1,6.784366
-0.25,2,6.789424
0.75,1,6.791992
-0.75,1,6.79482
1.25,3,6.802162
-0.75,1,6.804759
-0.25,3,6.812291
-0.25,2,6.817377
-0.75,1,6.819954
0.25,3,6.827451
0.75,1,6.830262
0.75,4,7.173414
-0.25,2,7.180847
-0.25,2,7.187551
-2.25,4,7.198377
-0.75,1,7.201092
-0.75,1,7.203879
-0.75,1,7.206928
0.75,4,7.218007
-0.25,2,7.223296
-2.25,4,7.233676
0.75,1,7.236543
-4.25,6,7.254473
0.25,3,7.263832
-1.25,3,7.273274
1.25,5,7.289274
1.75,6,7.307241
-0.25,2,7.313644
-0.25,2,7.320154
-0.75,1,7.323355
-0.75,1,7.326575
-0.25,2,7.332835
-0.25,2,7.339204
-0.25,2,7.345147
-0.25,2,7.350859
1.75,6,7.368271
-2.25,4,7.38067
4.75,10,7.410904
0.25,3,7.420168
0.25,3,7.428859
0.75,4,7.439126
-0.25,2,7.44455
1.25,5,7.459099
-1.25,3,7.468001
-3.25,8,7.494486
-0.25,2,7.500877
-0.25,2,7.50628
-0.75,1,7.509089
-0.25,2,7.514538
-0.25,2,7.52039
0.75,1,7.5232
-0.75,1,7.526174
1.75,6,7.542206
0.75,1,7.545253
3.25,8,7.569382
0.25,3,7.578301
