#{"t_start": 1788539743.7876291, "env_id": "None"}
r,l,t
-25.0,2,5.572731
-75.0,1,5.575835
-25.0,2,5.581282
-25.0,2,5.586727
-25.0,2,5.59212
75.0,4,5.602696
25.0,3,5.61086
-25.0,2,5.616399
75.0,4,5.627102
-75.0,1,5.629998
-75.0,1,5.632944
25.0,3,5.640865
-25.0,2,5.646281
-25.0,2,5.651793
-25.0,2,5.657116
-75.0,1,5.660028
-25.0,2,5.6655
-75.0,1,5.668695
-75.0,1,5.671762
75.0,4,5.682265
25.0,3,5.690286
-25.0,2,5.695723
25.0,3,5.703547
75.0,4,5.713763
-75.0,1,5.716484
-75.0,1,5.719391
-25.0,2,5.724663
75.0,3,5.732085
-25.0,2,5.737351
-75.0,1,5.740186
25.0,3,5.748017
-75.0,1,5.750525
-25.0,2,5.755249
175.0,4,5.764268
-125.0,1,5.76678
375.0,10,5.793559
-25.0,2,5.799213
75.0,4,5.810666
-25.0,2,5.816637
-75.0,1,5.819678
-25.0,2,5.825416
25.0,3,5.834373
-25.0,2,5.840193
-75.0,1,5.843322
-25.0,2,5.849733
-75.0,1,5.852736
-75.0,1,5.855777
25.0,3,5.86363
-75.0,1,5.866399
25.0,3,5.874416
-25.0,2,5.879808
-75.0,1,5.882551
25.0,3,5.890188
125.0,5,6.221523
575.0,8,6.242237
-75.0,1,6.245119
75.0,1,6.247995
-75.0,1,6.250909
75.0,4,6.261481
-25.0,2,6.2669
75.0,4,6.277123
375.0,10,6.303446
25.0,3,6.311864
125.0,5,6.32475
275.0,8,6.345255
-25.0,2,6.350863
-125.0,1,6.353699
-75.0,1,6.356684
175.0,4,6.368059
75.0,4,6.378719
375.0,10,6.404047
525.0,13,6.436795
25.0,3,6.444143
75.0,4,6.454294
375.0,7,6.470978
425.0,11,6.499787
125.0,5,6.514304
75.0,4,6.524801
-125.0,1,6.527677
525.0,7,6.548485
325.0,9,6.571376
25.0,3,6.579022
-25.0,2,6.58415
175.0,6,6.599253
-25.0,2,6.60423
75.0,4,6.614017
-75.0,1,6.61693
275.0,8,6.636609
75.0,4,6.646469
-25.0,2,6.651928
825.0,19,6.699256
75.0,4,6.709463
75.0,3,6.717193
175.0,6,6.73315
