#{"t_start": 1789430726.8287349, "env_id": "None"}
r,l,t
-0.25,4,13.200584
-0.75,1,13.205744
-1.25,3,13.221581
-0.25,1,13.231046
0.25,3,13.252086
0.25,3,13.268452
0.25,6,13.299926
-1.25,2,13.310617
0.75,3,13.326618
-0.75,1,13.331999
-0.75,1,13.337499
1.75,6,13.366641
-0.25,2,13.376809
-1.25,5,13.402208
-0.25,2,13.412493
-0.75,4,13.433436
-2.25,3,13.449199
-0.75,1,13.4552
-0.25,2,13.466751
-0.25,2,13.478551
-0.75,1,13.485429
-0.25,2,13.49633
-0.25,2,13.507732
-0.75,1,13.513517
-1.25,6,13.54559
0.75,1,13.552238
1.75,6,13.584474
-0.75,1,13.590593
-1.25,2,13.602211
1.75,7,13.637202
-0.75,1,13.643803
-1.25,1,13.649722
3.75,7,13.686241
-0.75,1,13.691979
-0.25,2,13.702836
1.75,6,13.733666
-0.75,1,13.74044
-0.25,2,13.752262
-0.25,2,13.763036
-0.75,1,13.768996
-1.25,2,13.779719
-2.75,3,13.802777
-0.75,1,13.816129
-0.25,2,13.837066
-0.25,1,13.85059
0.25,3,13.880145
-0.75,1,13.891806
-0.75,1,13.901551
-0.75,2,13.923486
-0.25,2,13.94773
1.25,5,14.00142
-0.25,2,14.029355
1.25,5,14.085575
-0.25,1,14.091925
-0.75,1,14.096714
-0.75,2,14.106961
-2.25,3,14.12333
0.75,4,14.144784
-0.75,1,14.151203
2.25,7,14.192393
-1.25,3,14.208329
0.25,3,14.224422
1.75,3,14.240439
-1.25,2,14.251765
-0.75,1,14.25823
0.25,3,14.274369
0.75,1,14.279698
-0.25,1,14.285412
-0.25,2,14.296722
0.25,3,14.313296
-0.25,1,14.319523
-0.75,1,14.325212
-0.75,1,14.331002
-0.75,1,14.337318
-0.75,2,14.348076
0.75,1,14.353845
-0.75,1,14.359803
-0.75,1,14.366027
-0.25,1,14.371513
-0.25,5,14.397489
3.25,9,14.444179
-0.25,1,14.450163
-0.25,2,14.460932
-1.25,1,14.466533
-0.75,1,14.472134
-0.25,4,14.49341
-0.25,2,14.504505
0.75,4,14.525898
-1.25,3,14.542898
0.75,3,14.55899
-0.25,2,14.569635
-0.75,1,14.575987
-0.75,1,14.58212
1.25,4,14.602602
-0.75,1,14.608763
-0.75,1,14.614984
1.25,5,14.649843
1.25,5,14.686296
-2.25,3,14.708287
-0.75,2,14.723065
-0.25,2,14.736177
-1.25,2,14.75365
-0.75,1,14.761295
-0.75,2,14.776959
-0.25,1,14.783737
-0.25,2,14.794487
-0.25,1,14.800445
-0.25,2,14.811243
-0.25,2,14.822056
-1.25,3,14.83843
-6.0,6,14.87041
0.75,4,14.891908
1.75,3,14.908946
-0.75,3,14.925506
-0.25,2,14.93874
0.75,1,14.944345
-0.75,1,14.950273
-0.25,2,14.961368
-1.25,3,14.97753
1.25,5,15.004284
1.75,6,15.041492
-0.75,1,15.047493
-0.75,1,15.053867
-0.75,1,15.06039
1.75,6,15.093894
-1.25,2,15.105048
-0.25,2,15.116446
-0.75,1,15.122139
-0.25,2,15.133475
-0.75,1,15.140135
-0.25,2,15.150652
0.75,1,15.156021
-0.75,1,15.162256
-0.75,1,15.167732
1.25,5,15.195088
0.75,1,15.200716
-2.75,3,15.217174
0.75,1,15.222956
-0.25,1,16.041372
1.25,5,16.079293
1.25,5,16.117094
-0.25,2,16.132432
-1.25,2,16.147528
-0.75,3,16.172843
0.75,1,16.180634
-0.75,1,16.188658
-0.75,4,16.21608
-0.25,1,16.223293
-0.75,2,16.237891
-1.25,2,16.253565
-0.75,1,16.261219
0.25,6,16.306129
-0.75,1,16.313445
-0.75,1,16.32237
-0.25,1,16.331107
-0.75,1,16.338924
0.25,3,16.361487
-0.75,2,16.378016
-0.75,1,16.386252
-0.25,2,16.400677
-0.75,1,16.408717
-2.25,3,16.432007
-0.75,1,16.439988
-0.25,2,16.455961
-0.25,1,16.464217
-0.75,1,16.472388
-0.25,2,16.487684
-2.25,3,16.510221
-0.25,2,16.524633
-0.25,2,16.540111
0.75,1,16.547254
0.75,4,16.576448
-0.25,4,16.606188
-0.25,1,16.615488
-0.25,2,16.633404
-0.25,3,16.658843
-0.25,2,16.676503
-0.75,1,16.686728
-0.25,2,16.701014
-0.75,1,16.709407
-0.25,1,16.717249
-0.75,1,16.725353
-0.75,2,16.73979
-0.25,2,16.755212
-0.75,3,16.777064
-0.25,2,16.792238
-1.25,1,16.80155
-0.75,2,16.816278
-0.75,2,16.82945
-0.75,1,16.837189
-2.25,4,16.869339
-0.25,1,16.877274
-0.75,1,16.884975
1.75,6,16.928296
0.75,1,16.935315
-0.75,2,16.950466
-0.75,1,16.958984
-4.75,8,17.018098
-0.75,1,17.026749
-0.75,1,17.034015
-2.75,3,17.056193
-1.25,3,17.077092
-0.25,2,17.091393
-1.25,2,17.106058
-9.75,10,17.179329
0.75,4,17.209897
-0.75,1,17.2181
-0.25,2,17.23332
-2.75,3,17.256489
0.75,1,17.265109
-0.75,1,17.273868
-0.25,1,17.281938
-3.25,4,17.312806
-0.25,2,17.327627
-0.25,1,17.336589
-0.75,4,17.36718
-0.25,2,17.381689
-1.75,4,17.410491
-0.25,1,17.418681
0.75,4,17.44786
-0.75,1,17.455331
-0.25,2,17.470015
0.25,3,17.492482
-0.25,2,17.507948
3.75,10,17.579354
-0.75,1,17.584922
-0.75,1,17.59069
-4.25,6,17.62318
-0.75,5,17.651779
-0.25,2,17.664187
1.25,5,17.691424
-0.75,1,17.698045
-0.75,2,17.709798
3.25,9,17.760238
-0.25,2,17.774778
-0.75,1,17.782844
-0.25,2,17.798602
-0.25,2,17.815415
-0.75,1,17.823869
-2.25,4,17.852669
-0.25,2,17.869124
-0.75,1,17.877591
-6.75,10,17.950983
-0.25,1,17.959787
0.25,3,17.981481
-1.25,1,17.990115
-0.25,1,17.998886
2.75,8,18.059448
-0.75,5,18.09435
0.75,4,18.12498
-3.25,4,18.158647
0.75,1,18.166873
-0.25,5,18.203699
-0.25,2,18.220038
0.25,3,18.242674
-0.25,2,18.258182
-0.75,1,18.266324
-3.25,5,18.304423
0.75,4,18.335087
-0.75,1,18.343776
1.25,5,18.382015
-0.25,3,18.405691
-0.25,2,18.419529
-7.75,8,18.47798
0.25,3,18.499194
-0.75,2,18.514181
0.75,1,18.521975
-2.25,3,18.54552
-1.25,3,18.567788
-0.75,1,18.57741
-0.25,2,18.592858
-0.75,1,18.600992
-0.75,5,18.637691
-2.75,3,18.660836
0.75,1,18.668447
-0.25,4,18.698886
1.25,3,18.720709
-3.25,5,18.757285
-0.75,1,18.76581
-0.75,1,18.772677
-0.25,2,18.786991
0.75,1,18.792562
-0.75,1,18.799497
-0.25,2,18.812235
0.25,4,18.835728
-0.75,6,18.87077
-0.75,1,18.876355
-0.25,2,18.892425
-0.25,2,18.907883
-0.75,2,18.923723
-0.75,4,18.95403
-0.75,1,18.961614
-0.75,1,18.970489
0.25,3,18.994042
-0.25,2,19.00976
-4.25,6,19.055822
-0.75,1,19.063711
-0.75,1,19.071321
-0.25,1,19.079449
0.75,4,19.108342
-2.75,3,19.131936
-0.25,1,19.140251
-0.75,1,19.149071
-3.25,5,19.18668
-2.25,3,19.209466
-0.75,5,19.24572
-0.25,1,19.25342
0.25,3,19.275437
-2.25,3,19.29697
-1.25,2,19.312376
0.75,1,19.320021
-0.25,1,19.328575
-2.25,4,19.359106
-0.75,4,19.388923
-0.75,3,19.410303
0.75,1,19.417655
0.75,4,19.445124
-0.75,1,19.452485
-0.75,1,19.460844
-0.75,2,19.477407
-0.75,1,19.485894
-0.75,1,19.49496
-0.25,1,19.503192
-0.75,2,19.517336
0.75,3,19.539538
7.75,10,19.610327
1.75,3,19.632808
6.0,12,19.722199
-0.75,2,19.737462
-2.25,3,19.760176
-2.75,3,19.783242
-0.25,2,19.798016
-1.25,3,19.821252
-0.25,2,19.836402
0.75,4,20.614321
-0.25,2,20.625461
3.75,10,20.6773
-1.25,2,20.688458
0.75,4,20.711276
0.25,3,20.728352
-0.25,2,20.740666
-0.75,1,20.746881
-0.25,2,20.758346
-0.75,1,20.764006
-0.75,1,20.771716
-0.75,3,20.792329
0.75,4,20.818253
-0.75,1,20.823785
1.75,3,20.841005
-0.75,1,20.846946
0.25,3,20.86327
-1.25,2,20.873621
-0.75,1,20.880004
-0.25,2,20.8914
-0.75,1,20.897812
0.75,1,20.903683
-0.75,2,20.914767
