#{"t_start": 1789380743.2197962, "env_id": "None"}
r,l,t
-0.25,2,5.844248
-0.25,2,5.850919
-0.25,3,5.860092
-0.25,2,5.865937
-0.25,1,5.869077
-0.25,3,5.878112
-0.25,2,5.884226
-0.25,1,5.887511
-0.25,1,5.890427
-0.25,1,5.893655
0.0,6,5.910996
-0.25,1,5.914192
-0.75,3,5.922745
-0.25,1,5.925814
-0.25,1,5.928818
-0.25,1,5.931987
0.25,2,5.937845
-0.25,2,5.943774
-0.25,2,5.950035
-0.25,1,5.953452
-0.25,1,5.956604
-0.25,2,5.962123
-0.25,3,5.97258
-0.25,2,5.979074
-0.25,4,5.991373
0.25,1,5.994385
-0.25,1,5.997627
-0.25,1,6.000662
-0.25,2,6.006474
-0.25,2,6.012243
0.25,1,6.015248
-0.25,1,6.018126
-0.25,2,6.023787
-0.25,1,6.026716
0.25,1,6.029578
-0.25,1,6.032468
-0.25,1,6.035523
-0.75,1,6.038715
-0.25,1,6.041938
-0.25,3,6.050472
-0.25,3,6.059769
-0.25,2,6.065616
-0.25,3,6.074023
-0.25,1,6.077193
-0.25,3,6.086825
-0.25,1,6.089713
-0.25,1,6.092828
-0.25,2,6.0994
-0.75,3,6.108444
-0.25,1,6.111714
-0.25,1,6.114716
-0.25,1,6.117688
-0.25,3,6.126125
0.25,1,6.129253
-0.25,2,6.135046
-0.25,4,6.146684
-0.25,1,6.149809
-0.25,6,6.166614
-0.25,1,6.169649
-0.25,3,6.178067
-0.25,2,6.183924
-0.25,2,6.189353
-0.25,1,6.192267
0.25,1,6.195091
-0.25,2,6.200925
-0.25,1,6.203953
-0.25,1,6.207047
-0.25,1,6.210008
-0.25,3,6.218347
-0.25,2,6.224472
0.25,1,6.227371
-0.25,2,6.233174
-0.75,1,6.236207
-0.25,1,6.239378
-0.75,3,6.247864
0.25,1,6.25131
-0.75,3,6.260885
-0.25,2,6.266622
-0.25,1,6.26945
-0.25,3,6.277805
-0.25,1,6.280977
-0.25,2,6.286452
-0.25,1,6.289403
-0.25,1,6.634972
-0.25,2,6.640851
-0.25,1,6.643945
0.25,1,6.647008
-0.25,4,6.659403
-0.25,1,6.662723
-0.25,1,6.665962
-0.25,1,6.669186
-0.25,3,6.677988
-0.25,1,6.680922
-0.25,2,6.686862
0.75,4,6.698358
-0.25,1,6.701476
-0.25,3,6.710658
-0.25,3,6.719121
-0.25,3,6.727606
-0.25,3,6.736215
-0.25,2,6.74254
