#{"t_start": 1788542983.2141814, "env_id": "None"}
r,l,t
1.25,8,7.107666
-0.25,2,7.113746
-0.25,2,7.119761
-0.75,1,7.123002
-0.25,2,7.129066
-0.25,2,7.134528
-0.75,1,7.137858
1.75,6,7.151684
-0.75,1,7.154532
1.75,6,7.168916
-0.75,1,7.172061
-9.75,10,7.196938
5.75,8,7.218557
-0.75,1,7.22195
-0.25,2,7.227798
-15.25,17,7.269505
-0.75,1,7.272392
-0.25,2,7.277313
-0.75,1,7.279854
-0.25,3,7.287305
-0.25,2,7.29286
-0.25,2,7.298309
2.25,7,7.321686
-0.25,2,7.328887
1.25,5,7.344127
0.75,1,7.347302
0.25,3,7.355344
-0.75,7,7.372519
-1.25,1,7.375543
2.25,7,7.394273
0.25,3,7.403447
0.25,3,7.412065
0.25,3,7.419942
1.75,6,7.436364
-0.75,1,7.439501
-0.75,1,7.442446
1.25,5,7.455927
-0.25,2,7.462749
-0.75,1,7.465933
0.25,3,7.474871
-0.75,1,7.477773
-0.75,1,7.480529
0.75,1,7.483149
-1.25,1,7.485868
1.25,5,7.500225
3.25,9,7.523511
0.25,3,7.531287
6.25,12,7.565523
-1.25,3,7.574856
0.25,3,7.58254
-0.25,2,7.587671
-0.75,1,7.590324
-0.75,1,7.5932
0.75,4,7.602715
0.75,1,7.605675
-0.75,1,7.608547
1.25,5,7.621468
1.25,5,7.636091
0.75,3,7.646521
-0.25,2,7.653167
-0.25,2,7.660437
-0.25,2,7.667347
-1.25,1,7.671116
-1.25,3,7.680714
-0.25,2,7.687533
1.25,5,7.703097
0.25,3,7.712505
-2.25,10,7.744421
0.75,3,7.753351
-3.25,5,7.766925
-1.25,1,7.770355
-0.75,1,7.773461
-1.75,5,7.787408
0.75,5,7.801258
1.75,6,7.817739
-0.25,2,7.823966
-0.75,1,7.827513
0.25,6,7.844987
-0.25,2,7.851284
-0.25,2,7.857724
-0.75,1,7.861121
-0.25,2,7.86744
-0.75,1,7.871144
-0.25,2,7.878739
0.75,1,7.882231
-1.25,1,7.885876
-0.75,1,7.889609
1.25,5,7.906463
0.75,1,7.909953
0.25,3,7.919828
-0.75,1,7.92344
-1.25,1,8.248374
-3.25,5,8.263024
1.25,5,8.276334
-0.25,2,8.284136
-0.25,2,8.290568
3.25,9,8.318227
-0.75,1,8.322266
1.25,5,8.338123
1.75,6,8.353085
-0.75,1,8.355994
-0.25,2,8.361467
-0.75,1,8.364468
0.25,3,8.373425
-0.25,3,8.381299
-0.25,2,8.38726
